"route","device","before_JS_bytes","after_JS_bytes","before_JS_gzip_bytes","after_JS_gzip_bytes","before_CSS_bytes","after_CSS_bytes","before_API_requests","after_API_requests","before_image_bytes","after_image_bytes","before_overflow","after_overflow","before_broken_images","after_broken_images","after_page_errors"
"/admin/support","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/audit","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/audit","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/users","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/users","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/settings","desktop","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/admin/settings","mobile","495052","479491","146855","143281","187955","186023","0","0","0","0","false","false","0","0","0"
"/account","desktop","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account","mobile","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account/profile","desktop","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account/profile","mobile","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account/security","desktop","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account/security","mobile","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account/notifications","desktop","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account/notifications","mobile","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account/sessions","desktop","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account/sessions","mobile","509943","494893","152576","149373","235215","233283","2","2","17452","17452","false","false","0","0","0"
"/account/player/claim/:playerId","desktop","535409","496429","159961","150287","235215","233283","1","1","17452","17452","false","false","0","0","0"
"/account/player/claim/:playerId","mobile","535409","496429","159961","150287","235215","233283","1","1","17452","17452","false","false","0","0","0"
"/account/support/tickets","desktop","521991","506936","157862","154659","236914","234982","2","2","17452","17452","false","false","0","0","0"
"/account/support/tickets","mobile","521991","506936","157862","154659","236914","234982","2","2","17452","17452","false","false","0","0","0"
"/account/support/tickets/new","desktop","521991","506936","157862","154659","236914","234982","1","1","17452","17452","false","false","0","0","0"
"/account/support/tickets/new","mobile","521991","506936","157862","154659","236914","234982","1","1","17452","17452","false","false","0","0","0"
"/account/support/tickets/:ticketId","desktop","521991","506936","157862","154659","236914","234982","2","2","17452","17452","false","false","0","0","0"
"/account/support/tickets/:ticketId","mobile","521991","506936","157862","154659","236914","234982","2","2","17452","17452","false","false","0","0","0"
